date,year,month,day,quarter,month_name,week_number,day_of_week,year_month
2021-06-13,2021,6,13,2,Jun,23,Sun,2021-Jun
2021-06-15,2021,6,15,2,Jun,24,Tue,2021-Jun
2021-06-17,2021,6,17,2,Jun,24,Thu,2021-Jun
2021-06-20,2021,6,20,2,Jun,24,Sun,2021-Jun
2021-06-25,2021,6,25,2,Jun,25,Fri,2021-Jun
2021-06-27,2021,6,27,2,Jun,25,Sun,2021-Jun
2021-06-29,2021,6,29,2,Jun,26,Tue,2021-Jun
2021-07-06,2021,7,6,3,Jul,27,Tue,2021-Jul
2021-08-10,2021,8,10,3,Aug,32,Tue,2021-Aug
2021-08-23,2021,8,23,3,Aug,34,Mon,2021-Aug
2021-08-26,2021,8,26,3,Aug,34,Thu,2021-Aug
2021-08-27,2021,8,27,3,Aug,34,Fri,2021-Aug
2021-09-01,2021,9,1,3,Sep,35,Wed,2021-Sep
2021-09-12,2021,9,12,3,Sep,36,Sun,2021-Sep
2021-09-20,2021,9,20,3,Sep,38,Mon,2021-Sep
2021-09-29,2021,9,29,3,Sep,39,Wed,2021-Sep
2021-10-07,2021,10,7,4,Oct,40,Thu,2021-Oct
2021-10-09,2021,10,9,4,Oct,40,Sat,2021-Oct
2021-10-11,2021,10,11,4,Oct,41,Mon,2021-Oct
2021-10-25,2021,10,25,4,Oct,43,Mon,2021-Oct
2021-11-04,2021,11,4,4,Nov,44,Thu,2021-Nov
2021-11-05,2021,11,5,4,Nov,44,Fri,2021-Nov
2021-11-07,2021,11,7,4,Nov,44,Sun,2021-Nov
2021-11-09,2021,11,9,4,Nov,45,Tue,2021-Nov
2021-11-14,2021,11,14,4,Nov,45,Sun,2021-Nov
2021-11-20,2021,11,20,4,Nov,46,Sat,2021-Nov
2021-11-23,2021,11,23,4,Nov,47,Tue,2021-Nov
2021-11-29,2021,11,29,4,Nov,48,Mon,2021-Nov
2021-11-30,2021,11,30,4,Nov,48,Tue,2021-Nov
2021-12-02,2021,12,2,4,Dec,48,Thu,2021-Dec
2021-12-29,2021,12,29,4,Dec,52,Wed,2021-Dec
2022-01-13,2022,1,13,1,Jan,2,Thu,2022-Jan
2022-01-15,2022,1,15,1,Jan,2,Sat,2022-Jan
2022-01-17,2022,1,17,1,Jan,3,Mon,2022-Jan
2022-02-05,2022,2,5,1,Feb,5,Sat,2022-Feb
2022-02-08,2022,2,8,1,Feb,6,Tue,2022-Feb
2022-02-09,2022,2,9,1,Feb,6,Wed,2022-Feb
2022-02-10,2022,2,10,1,Feb,6,Thu,2022-Feb
2022-02-16,2022,2,16,1,Feb,7,Wed,2022-Feb
2022-02-24,2022,2,24,1,Feb,8,Thu,2022-Feb
2022-04-03,2022,4,3,2,Apr,13,Sun,2022-Apr
2022-04-10,2022,4,10,2,Apr,14,Sun,2022-Apr
2022-04-13,2022,4,13,2,Apr,15,Wed,2022-Apr
2022-04-21,2022,4,21,2,Apr,16,Thu,2022-Apr
2022-05-16,2022,5,16,2,May,20,Mon,2022-May
2022-05-20,2022,5,20,2,May,20,Fri,2022-May
2022-05-23,2022,5,23,2,May,21,Mon,2022-May
2022-05-28,2022,5,28,2,May,21,Sat,2022-May
2022-06-12,2022,6,12,2,Jun,23,Sun,2022-Jun
2022-06-18,2022,6,18,2,Jun,24,Sat,2022-Jun
2022-06-22,2022,6,22,2,Jun,25,Wed,2022-Jun
2022-07-16,2022,7,16,3,Jul,28,Sat,2022-Jul
2022-07-30,2022,7,30,3,Jul,30,Sat,2022-Jul
2022-08-07,2022,8,7,3,Aug,31,Sun,2022-Aug
2022-08-13,2022,8,13,3,Aug,32,Sat,2022-Aug
2022-08-22,2022,8,22,3,Aug,34,Mon,2022-Aug
2022-08-30,2022,8,30,3,Aug,35,Tue,2022-Aug
2022-09-15,2022,9,15,3,Sep,37,Thu,2022-Sep
2022-09-19,2022,9,19,3,Sep,38,Mon,2022-Sep
2022-09-23,2022,9,23,3,Sep,38,Fri,2022-Sep
2022-10-24,2022,10,24,4,Oct,43,Mon,2022-Oct
2022-11-12,2022,11,12,4,Nov,45,Sat,2022-Nov
2022-11-13,2022,11,13,4,Nov,45,Sun,2022-Nov
2022-11-15,2022,11,15,4,Nov,46,Tue,2022-Nov
2022-11-21,2022,11,21,4,Nov,47,Mon,2022-Nov
2022-12-02,2022,12,2,4,Dec,48,Fri,2022-Dec
2022-12-18,2022,12,18,4,Dec,50,Sun,2022-Dec
2022-12-21,2022,12,21,4,Dec,51,Wed,2022-Dec
2022-12-23,2022,12,23,4,Dec,51,Fri,2022-Dec
2020-11-09,2020,11,9,4,Nov,46,Mon,2020-Nov
2020-11-26,2020,11,26,4,Nov,48,Thu,2020-Nov
2020-12-01,2020,12,1,4,Dec,49,Tue,2020-Dec
2020-12-05,2020,12,5,4,Dec,49,Sat,2020-Dec
2020-12-06,2020,12,6,4,Dec,49,Sun,2020-Dec
2020-12-21,2020,12,21,4,Dec,52,Mon,2020-Dec
2020-12-29,2020,12,29,4,Dec,53,Tue,2020-Dec
2021-01-06,2021,1,6,1,Jan,1,Wed,2021-Jan
2021-01-18,2021,1,18,1,Jan,3,Mon,2021-Jan
2021-01-25,2021,1,25,1,Jan,4,Mon,2021-Jan
2021-01-29,2021,1,29,1,Jan,4,Fri,2021-Jan
2021-02-10,2021,2,10,1,Feb,6,Wed,2021-Feb
2021-02-18,2021,2,18,1,Feb,7,Thu,2021-Feb
2021-02-21,2021,2,21,1,Feb,7,Sun,2021-Feb
2021-02-23,2021,2,23,1,Feb,8,Tue,2021-Feb
2021-02-26,2021,2,26,1,Feb,8,Fri,2021-Feb
2021-03-03,2021,3,3,1,Mar,9,Wed,2021-Mar
2021-03-19,2021,3,19,1,Mar,11,Fri,2021-Mar
